,Population Density (Per Sq. Mile),Area (Land),% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,Median Household Income (In 2019 Inflation Adjusted Dollars),Per Capita Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units with Cash Rent,Population for Whom Poverty Status Is Determined:,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
261,4392.247,0.378394031,3.43,0,960,35724,23452,764,196,764,1647,0.303340286,-0.200857788,10,36.14172363,45.88212204,46575.85938,47379.54688,47254.19531,15232.49609,15281.47559,68.65972137,67.91137695,85.87052917,84.34992981,83.32215118,81.34560394
262,4131.308,0.327499201,9.98,15.59,864,41935,40880,399,465,383,1353,0.441096246,-0.214883536,10,25.76420593,46.36465073,45840.01563,46508.93359,46273.41406,15271.9248,15290.69043,68.81707764,68.09196472,86.24836731,84.37923431,83.47625732,81.26519012
263,3620.143,0.334240931,1.74,1.4,533,65625,36298,160,373,141,1205,0.520402789,-0.198491544,10,15.98592377,54.75323868,45949.99219,46456.95313,45990.82813,15272.1582,15289.00977,68.69062805,68.01726532,86.36270142,84.04239655,82.80554962,80.59870148
264,5752.419,0.238682187,4.01,0,658,58889,34126,262,396,262,1373,0.444611847,-0.215264156,10,20.67419434,46.35381317,45628.11328,46644.625,45834.57422,15282.65723,15317.82031,69.28253174,68.43682098,86.04042053,84.23564148,83.12800598,80.96352386
265,10372.21,0.106727522,0,0,432,38632,18725,356,76,356,1107,0.423614323,-0.15192987,10,23.98756218,32.98713303,46108.59766,46842.05859,45837.30469,15276.91699,15296.94434,69.17123413,68.41304016,86.01600647,84.54717255,83.56746674,81.4111557
266,3966.693,0.563693731,1.74,3.13,895,41550,25898,637,258,630,2177,0.494926125,-0.220566168,10,25.43981934,51.70234299,45540.90234,46529.45313,45257.99219,15230.60449,15314.79688,68.55065155,67.83146667,86.00969696,83.77339935,82.49027252,80.45475769
267,3731.732,0.288873925,6.31,1.48,427,116518,49531,2,425,2,1078,0.509584606,-0.241757393,10,17.47782707,53.26113129,46006.5625,46481.625,45912.61328,15231.0752,15299.70801,68.45468903,67.76839447,86.12038422,83.82044983,82.42409515,80.34841919
268,2788.741,0.838371066,5.39,0,1077,61106,34423,364,713,364,2276,0.499021024,-0.259007365,10,24.50375557,60.4349823,46264.59766,46515.45313,43656.71484,15221.77246,15323.46387,68.33972168,67.63063812,85.68997192,83.41705322,81.99462891,80.05439758
269,4276.105,0.466312199,0.6,0,866,78929,50512,471,395,471,1968,0.448414236,-0.205745578,10,32.15324783,45.67280197,45648.82422,46668.72266,44850.11328,15227.30176,15329.21777,68.28658295,67.61432648,86.08667755,84.22875214,83.21675873,81.01778412
270,7315.073,0.294187077,0,0,702,77653,27843,165,537,165,2152,0.429997981,-0.210543871,10,24.16537857,41.51510239,46584.26563,46647.08984,46898.71094,15294.22656,15380.57324,68.82646942,68.13262177,86.24620056,84.27398682,83.73409271,81.25865173
271,10373.67,0.216702548,1.02,0,889,33839,17136,845,44,845,2248,0.389330864,-0.126073301,10,37.84917068,35.56255341,47575.58203,47458.33203,47225.35938,15342.18262,15440.37305,69.37387085,68.51789856,85.85079193,84.28094482,83.65329742,81.67631531
272,7565.763,0.214651188,0,0,580,48571,19238,530,50,523,1619,0.514595509,-0.226616293,10,20.38129234,54.45008087,46836.86719,46529.03906,47232.72266,15329.9248,15395.61914,68.51172638,67.77883148,85.69724274,83.64922333,82.48316956,80.34096527
273,10533.45,0.137751603,3.38,0,698,32697,21578,698,0,698,1451,0.31741032,-0.135931268,50,47.23000717,29.03863144,48453.70313,47888.23047,47843.87891,15350.79297,15425.18359,69.3007431,68.43818665,85.57775879,84.59703827,84.26927948,82.33421326
274,2563.183,0.636708355,9.74,2.45,614,101389,45676,52,562,52,1632,0.51609385,-0.213247702,10,18.96041107,51.91294479,45638.17578,46321.36328,42935.74609,15212.74316,15177.58203,68.42404938,67.72010803,85.7722702,83.80888367,82.65786743,80.55278015
275,2446.236,0.491367141,1.41,2.16,485,110893,65637,19,466,19,1202,0.392354727,-0.297194928,10,19.44417,53.82741547,46362.98047,46565.49219,43415.34766,15203.97168,15279.4209,68.76073456,68.01506805,86.19260406,84.05875397,82.87533569,80.64788055
276,2515.309,0.738279096,9.59,2.85,769,90972,62394,300,469,291,1857,0.493829995,-0.204511195,10,13.87682247,49.27579117,46405.55078,46396.47266,44449.68359,15243.16113,15286.67871,68.34163666,67.65279388,86.25473785,84.1889801,83.11493683,80.82061768
277,1932.358,0.655158248,4.34,2.13,455,116458,79210,73,382,73,1266,0.440293193,-0.256935954,10,13.20172787,49.17155838,46161.07422,46461.29688,45689.91016,15252.3877,15285.88086,68.07698822,67.42532349,86.64974213,84.40552521,83.09436798,80.81520844
278,1354.116,0.544266614,4.34,1.22,325,100819,58228,19,306,19,737,0.489351898,-0.215012744,10,19.8596859,59.60776901,46157.25,46542.64844,46120.76563,15274.01074,15336.57617,68.25845337,67.58583832,85.82820129,83.6824646,82.48960114,80.31262207
279,4467.763,0.763693114,0.82,0,1157,147566,67488,62,1095,0,3412,0.511435986,-0.186581433,10,30.41088676,49.29972458,43743.69531,46860.08203,45950.38672,15163.02344,15250.21973,68.36183929,67.73001862,86.32045746,84.02596283,82.78609467,80.55075073
280,8426.031,0.173628604,0,2.46,552,84881,34318,98,454,63,1433,0.480671108,-0.153357893,10,29.26554871,45.25156403,45872.46484,47060.64844,46109.78125,15216.62793,15319.79492,68.75134277,68.13478851,86.63754272,84.3967514,83.36665344,81.13121033
281,1307.733,2.316222701,3.27,2.28,1205,108060,55795,473,732,473,3002,0.536986649,-0.247679055,10,32.90548706,59.85113525,45270.28906,46229.73438,42669.36719,15211.96387,15311.99219,67.99933624,67.42180634,86.7931366,83.92980957,82.07774353,79.95667267
282,3579.106,2.808522279,1.41,2.41,3339,82567,30698,1153,2186,1153,9957,0.451746166,-0.198502213,10,28.76574135,64.12421417,45010.98828,46396.26563,43567.61719,15226.02539,15269.71973,68.94781494,68.24547577,86.27168274,84.31980133,83.57632446,81.3312912
283,4908.397,0.315989109,0,0,444,55375,18871,171,273,171,1551,0.476148486,-0.17850028,10,28.45473289,56.80012131,44727.65625,46739.23438,43790.53125,15242.55664,15243.01465,68.94291687,68.23921967,86.20166779,84.12973022,83.33585358,81.05186462
284,2253.503,0.979363997,4.21,0,956,56250,23105,456,500,456,2207,0.504794359,-0.236410007,10,22.29399109,66.83927155,45193.73047,46424.58984,44918.58984,15266.07227,15313.81934,68.49305725,67.73149109,86.09115601,83.85835266,82.18534851,80.02971649
285,2335.764,1.849502005,3.1,0,1813,56470,29043,1257,556,1250,4320,0.381048352,-0.169906303,10,42.82695007,57.68751144,46538.92578,47049.82813,46410.70703,15297.5459,15346.19141,69.47789001,68.69441223,85.69573212,84.12363434,83.19998932,81.19633484
286,5561.987,0.249730887,2.02,2.45,634,91429,53378,145,489,128,1389,0.411642075,-0.249913886,10,28.13933563,43.88288879,45188.25391,46536.55859,42121.16016,15215.86621,15341.27148,68.68473816,67.9405365,86.24277496,84.23674774,83.17525482,80.88574219
287,1574.71,1.517105099,2.93,1.38,1024,92292,50469,355,669,341,2329,0.432366937,-0.210576519,10,36.71199036,66.42982483,45772.38672,46527.07813,43358.82422,15240.5166,15300.78809,68.94529724,68.19033051,86.05455017,83.8924942,82.54511261,80.51238251
288,4171.147,0.580655586,4.34,2.11,1014,94044,42237,228,786,197,2422,0.382130593,-0.266952544,10,30.21405411,44.58588791,46049.07813,46707.86719,42338.73828,15193.76367,15170.80762,68.85075378,68.09477997,86.15268707,84.31233215,83.30627441,81.04465485
289,2556.23,1.098101613,3.99,2.96,1191,61875,35068,668,523,668,2642,0.372378439,-0.178627908,10,35.90225983,47.74899292,46815.91797,46867.00781,44598.74609,15275.51465,15356.4248,69.1852417,68.45233917,86.5688324,84.53270721,83.67732239,81.33742523
290,713.854,1.582956755,3.27,0.62,489,60139,24506,442,47,442,1130,0.281445086,-0.13081041,50,50.5759964,48.51037216,46833.83984,47617.42578,46950.53125,15323.4668,15407.32324,69.9834671,69.19989777,85.78838348,84.40441132,84.17191315,82.13159943
291,4283.197,0.482816909,0,0,1101,50039,30121,1028,73,1007,2068,0.331591636,-0.156048,50,47.2620163,46.46470642,47157.23438,47059.98438,45596.57031,15316.63672,15405.20898,69.61069489,68.80292511,85.7301712,84.35558319,83.93617249,81.81916046
292,6222.075,0.868681245,1.35,0,1558,77241,27458,474,1084,440,5354,0.454078466,-0.201940656,10,26.90878296,53.34770203,46535.17188,46870.58594,47347.83203,15287.98828,15370.61621,68.20168304,67.49728394,86.36322021,84.07078552,82.94728088,80.55458832
293,5363.869,0.361492795,0.67,0.83,643,70222,24580,160,483,160,1939,0.503318906,-0.154955655,10,22.21666908,43.45999146,46618.63281,46891.44141,47380.01953,15309.76758,15390.68457,68.4317627,67.73143005,86.61742401,84.28894806,83.55344391,80.9335556
294,2631.65,0.857256868,6.65,0,937,73054,36870,0,937,0,2256,0.502110243,-0.18611227,10,26.92916298,64.84945679,46101.07422,46530.68359,46925.3125,15309.02637,15333.97656,68.36862183,67.66880035,86.43470001,83.91583252,82.70796204,80.43309784
295,3055.943,0.885160472,0.89,0,926,87679,33263,234,692,234,2705,0.429631174,-0.160922244,10,28.85094833,51.86733246,46245.92578,46877.97656,47337.24609,15302.24023,15361.47266,68.85941315,68.14038849,86.4082489,84.33571625,83.49140167,81.07234192
296,4427.519,0.822808445,3.93,0,1604,80877,35782,471,1133,399,3614,0.455839902,-0.176260382,10,21.51016426,53.61200714,45515.36719,46566.46484,46510.89453,15231.0957,15309.6377,68.25871277,67.6095047,86.60321045,84.32337952,83.43663788,80.91858673
297,4452.165,0.912365231,7.16,1.5,1283,75762,29918,288,995,258,4062,0.493861407,-0.237563118,10,27.20683098,57.47454834,45553.12891,46446.48047,46707.82031,15284.72461,15375.68457,68.37464142,67.64945984,86.20608521,83.99040985,82.92002106,80.62120056
298,755.5473,1.954874308,5.15,0,599,40960,24851,421,178,421,1472,0.433119923,-0.127790034,10,33.95385742,57.45991135,46409.95703,47094.37891,47245.16016,15306.45313,15366.8125,69.1656723,68.46122742,85.91785431,83.93052673,82.72655487,80.63343811
299,493.5092,2.609880432,10.56,0,611,55521,30673,165,446,165,1241,0.48895359,-0.189229339,10,37.91266632,61.53694153,45398.20703,46221.75391,46545.25,15228.08398,15267.80566,68.66960144,67.97290802,86.29333496,83.88509369,82.53562164,80.36641693
300,4891.212,1.073762504,0.55,1.07,1633,72686,26523,779,854,779,5238,0.488117397,-0.195263103,10,30.56561661,60.69978333,45878.19922,46239.90234,46494.89453,15268.96191,15313.06738,68.64364624,68.0062027,86.47681427,83.85424042,82.61799622,80.41390228
301,2873.03,3.329238205,5.27,0.76,3586,114071,55709,1307,2279,1281,9565,0.477873176,-0.188241988,10,29.42016602,55.00456619,44133.07422,46712.83984,46375.78516,15159.4082,15244.86621,68.61306,67.89433289,86.8103714,84.53398132,83.5258255,81.00421143
302,2010.63,0.979294885,3.1,0,558,37381,19108,400,158,384,1969,0.439813405,-0.178233773,10,30.58011818,50.6612854,46251.04297,46756.51953,47232.94141,15264.18848,15313.46094,68.79145813,68.09281921,85.94880676,83.72419739,82.92835236,80.70011902
303,933.658,2.650863633,2.79,0.61,627,46339,21695,288,339,288,1537,0.421814024,-0.14620854,10,40.49819946,50.72279358,46284.92578,47028.3125,47233.69141,15257.25586,15334.3125,69.12491608,68.37561798,86.17498016,84.16153717,83.52325439,81.26926422
304,5456.932,0.813827323,0,0,1762,84951,39454,687,1075,687,4419,0.430612534,-0.187614396,10,29.11656952,53.85871124,46387.52344,47257.49219,47721.54688,15234.33496,15319.44434,68.90411377,68.16059113,86.30932617,84.28869629,83.39373016,81.10063934
305,3068.804,0.615549184,3.71,0,904,31897,26054,565,339,565,1889,0.565166652,-0.244916052,10,14.99825573,52.77830124,44866.48828,46271.76953,46530.87891,15216.31934,15290.23047,68.11220551,67.43708801,85.96486664,83.70274353,82.64865112,80.40825653
306,0,8.25198109,,,0,,,0,0,0,0,0.675936639,-0.393812209,10,8.144451141,93.82761383,44482.38281,44886.42969,44753.72266,15079.08691,15084.58887,67.70996857,67.4730835,86.41665649,83.56653595,80.39865112,78.76880646
