,Population Density (Per Sq. Mile),Area (Land),% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,Median Household Income (In 2019 Inflation Adjusted Dollars),Per Capita Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units with Cash Rent,Population for Whom Poverty Status Is Determined:,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
98,5403.489,0.201536455,2.75,4.32,581,27542,24548,413,168,413,1089,0.399048567,-0.112418279,10,32.7155304,28.12017441,46418.95313,47675.39453,48034.12109,15417.16602,,69.26030731,68.38088989,86.92074585,84.95116425,84.29945374,81.59674072
99,6842.996,0.122022573,1.2,2.99,348,27596,19569,254,94,221,835,0.381895095,-0.059251551,10,40.86626816,28.1065712,46014.98438,47559.99609,47844.98438,15415.99902,,69.31573486,68.40060425,87.36312103,85.3815918,84.52270508,81.66749573
100,2904.429,0.419359472,6.16,0.74,555,47934,25485,209,346,200,1213,0.512979984,-0.168499976,10,23.45165443,51.13905716,45801.89844,46542.83594,47151.63281,15367.25977,15333.61719,68.62097168,67.91641998,86.68660736,84.43925476,83.09603882,80.68771362
101,8956.257,0.126392091,7.86,0.62,470,27031,16650,399,71,399,1132,0.416359693,-0.064566538,10,31.71795464,32.62514496,46213.28906,47284.87891,47693.96875,15373.96875,15304,69.03810883,68.22956848,87.37584686,85.19763947,84.23544312,81.38173676
102,2508.563,0.371128747,2.36,0,314,31792,12625,221,93,221,904,0.46794942,-0.16382435,10,32.01206207,50.20469284,45958.93359,46982.91016,47015.66016,15316.61621,15323.43262,68.39996338,67.68838501,86.7931366,84.35834503,83.17569733,80.5606308
103,5655.13,0.358435638,0,0,138,26894,3346,113,25,113,280,0.524687648,-0.212931603,10,30.54487801,64.23600006,46090.36719,46653.86328,47088.29297,15314.28809,15304.7666,68.16903687,67.49787903,86.83917236,84.16726685,82.42092896,80.18511963
104,7516.253,0.214468561,0.87,1.18,285,51250,15584,211,74,204,835,0.328825593,-0.05293519,50,48.47606659,24.3277626,46534.28516,47526.73438,47662.96094,15364.16113,15382.69922,70.2638855,69.4574585,85.21916962,84.12208557,83.63085175,81.5900116
105,2777.704,0.354609365,0,0.41,381,36927,19757,361,20,354,983,0.346631736,-0.099276967,50,42.32755661,39.90645981,46024.15234,47236.36328,47427.23047,15301.20996,15352.05957,69.177948,68.50395966,85.69528198,83.85925293,83.66767883,81.36545563
106,3684.246,0.161769861,7.05,1.17,243,25774,19957,165,78,165,596,0.471426457,-0.120557606,10,24.99473953,36.23568344,46277.40234,47453.14063,47766.29297,15338.66113,15349.71582,68.89724731,68.10417938,86.07558441,84.11994934,83.51769257,80.89168549
107,9148.323,0.165932043,0,0,1040,46786,44923,965,75,944,1487,0.27151376,-0.093583174,50,52.55158615,26.34752274,47305.4375,47478.31641,47896.6875,15377.88379,15418.51367,70.57642365,69.75376892,85.99436951,84.55358124,84.37490082,82.19608307
108,5042.67,0.209809466,3.5,0,490,72500,50993,242,248,214,1058,0.40710777,-0.090766296,10,38.37302399,41.07876968,46681.39453,47091.24219,47445.5,15381.69141,15391.6084,70.15624237,69.36707306,85.49638367,84.27413177,83.76116943,81.59249878
109,16465.73,0.22859604,0,0,0,,328,0,0,0,0,0.290523618,-0.162973732,50,44.04486465,28.44934082,47744.46094,47794.34375,48179.58984,15326.37988,15439.69434,69.91487885,69.16479492,85.64522552,83.89295959,83.34355927,81.31614685
110,3447.818,0.345725926,1.51,0.84,492,35873,17876,439,53,439,1189,0.384144545,-0.20433338,10,35.05636597,45.06430054,47268.22656,47236.53516,47697.625,15314.80371,15479.8418,69.38326263,68.67855835,86.221138,84.24697876,83.50675201,81.30157471
111,7139.882,0.057003739,0,0,0,,2236,0,0,0,0,0.365151078,-0.207200527,30,21.12531281,22.32176018,47084.20703,47303.39063,47799.20703,15310.86426,15466.36523,69.34169006,68.62511444,86.09144592,84.09441376,83.63611603,81.39583588
112,3628.579,0.139448523,0,0,0,,236,0,0,0,0,0.247531906,-0.112444341,50,52.82658005,26.12282372,47691.54688,47400.73438,48307.98828,15350.53809,15388.40234,70.70526123,69.84329987,85.90378571,84.55229187,84.41651154,82.31742096
113,15892.66,0.223121883,0,0,0,,115,0,0,0,0,0.295749247,-0.174745724,50,37.91947937,36.89664841,47866.00391,47459.42578,48304.15625,15344.16016,15391.74121,69.91490173,69.12348175,85.46696472,83.69566345,83.18247986,81.19895935
